assertion_id,record_id,assertion_type,printed_form,start_line,start_character,review_status
asrt.57998c4ce65ce8a14c10a663,206,GIFT_MENTION,பரிசில்,4,23,human_review_required
asrt.36b8bac4cf1e38277c312901,207,GIFT_MENTION,பரிசில்,4,21,human_review_required
asrt.0a0843da1ef5ee464760502e,208,GIFT_MENTION,பரிசில்,2,10,human_review_required
asrt.0aa3a8b70684b9e0ff8a4d29,211,WARFARE_MENTION,முரசு,5,0,human_review_required
asrt.422b979f3330f8793813f81b,212,PERSON_MENTION,கோப்பெருஞ் சோழன்,8,11,human_review_required
asrt.0d5f2e9f8832ea78ecc10d74,212,RULER_MENTION,கோப்பெருஞ் சோழன்,8,11,human_review_required
asrt.cb3331fc19e00ffd88007a34,212,COMMUNITY_MENTION,பாணர்,6,24,human_review_required
asrt.ae06a3cb441e833c73d01920,214,FAUNA_MENTION,யானை,4,0,human_review_required
asrt.7fda8d1f7f87d329c01b82fb,221,SOCIAL_PRACTICE,நடுகல்,13,0,human_review_required
asrt.69576449eb309fbc0f02a34b,223,SOCIAL_PRACTICE,நடுகல்,3,9,human_review_required
asrt.f5a9270a6b2f8660774f9f10,228,FAUNA_MENTION,யானை,10,12,human_review_required
asrt.a955dc23d8d9d96c94feb33e,229,FAUNA_MENTION,யானை,18,9,human_review_required
asrt.bc4ed2830ad78adcd3ced258,229,GIFT_MENTION,ஈகை,26,18,human_review_required
asrt.3aca545e9a07194cf4c26488,232,SOCIAL_PRACTICE,நடுகல்,3,0,human_review_required
asrt.c5a9e84835d98a4d0967a3dc,233,FAUNA_MENTION,யானை,2,6,human_review_required
asrt.f2b051617553f8cc53960979,236,MOUNTAIN_OR_HILL_MENTION,மலை,3,0,human_review_required
asrt.b531d24d97ac8307f3a79500,237,GIFT_MENTION,பரிசில்,19,10,human_review_required
asrt.d8752b29c531d5488b378bba,239,FAUNA_MENTION,களிறு,15,11,human_review_required
asrt.a584822c9a2504e4b17f59d5,239,WARFARE_MENTION,படை,12,6,human_review_required
asrt.14f9debfea7aebc61cc4fb0e,244,COMMUNITY_MENTION,பாணர்,1,0,human_review_required
asrt.d9777c115e434d05f77c29ea,247,FAUNA_MENTION,யானை,1,0,human_review_required
asrt.3f5e9aed316f5d6dff37685b,249,ECONOMIC_ACTIVITY,வரி,11,29,human_review_required
asrt.d06d32dcfcd4b0c82fcbbef4,250,KINSHIP_MENTION,தந்தை,8,21,human_review_required
asrt.a519727931400f6c4df7fa37,251,FAUNA_MENTION,யானை,5,4,human_review_required
asrt.0d947b5cbbd470e3369d2a93,254,KINSHIP_MENTION,மகன்,8,28,human_review_required
asrt.f68b3a36737f640a6bd7d97b,255,FAUNA_MENTION,புலி,1,16,human_review_required
asrt.043c2cbd52c29703866e54c4,259,COMMUNITY_MENTION,மறவர்,3,8,human_review_required
asrt.2bbce33889743b17b4f871ce,260,COMMUNITY_MENTION,மறவர்,17,26,human_review_required
asrt.9a90ad7743d8d746046f5d11,261,FAUNA_MENTION,யானை,7,6,human_review_required
asrt.7471bfaf76ecc730c14b0f7f,261,SOCIAL_PRACTICE,நடுகல்,15,16,human_review_required
asrt.e67f478157486ebef791dcee,265,FLORA_MENTION,வேங்கை,2,10,human_review_required
asrt.b53f7687268a46d1c23e5a67,265,FAUNA_MENTION,யானை,8,12,human_review_required
asrt.6eac04672ab5cf2f8099c141,270,COMMUNITY_MENTION,மறவர்,9,24,human_review_required
asrt.1fdef4805645c48ed2e98743,270,FAUNA_MENTION,யானை,2,25,human_review_required
asrt.fd2bffdded27018f66c14a23,279,FAUNA_MENTION,யானை,4,0,human_review_required
asrt.3de0400d9892e0e15a2d587a,287,FAUNA_MENTION,யானை,5,21,human_review_required
asrt.2ccec25f6305b970412c2445,287,WARFARE_MENTION,வேல்,4,16,human_review_required
asrt.ce62064b25b34ab0e70b7259,287,POLITICAL_RELATION,வேந்தன்,13,5,human_review_required
asrt.cd9074d896de15d84652fd4b,290,KINSHIP_MENTION,தந்தை,3,27,human_review_required
asrt.612e0968d96613a878abe7e5,290,FAUNA_MENTION,யானை,2,12,human_review_required
asrt.0170e31e5fcb8952b91ee905,293,FAUNA_MENTION,யானை,1,20,human_review_required
asrt.548fa039341525fb64114dab,299,POLITICAL_RELATION,மன்னன்,1,22,human_review_required
asrt.2cc64842edb94a9f2ba42731,302,FAUNA_MENTION,களிறு,9,12,human_review_required
asrt.89a0462353aa885d253c38a1,303,FAUNA_MENTION,யானை,9,15,human_review_required
asrt.7490869b403d4f0d4d55cb67,304,POLITICAL_RELATION,வேந்தன்,9,25,human_review_required
asrt.367be01310903d00eb3da1b6,306,SOCIAL_PRACTICE,நடுகல்,4,0,human_review_required
asrt.ea3b4958249829f984be987d,307,FAUNA_MENTION,யானை,11,8,human_review_required
asrt.e9215b654b317ed7b9b931f9,307,ECONOMIC_ACTIVITY,வரி,4,6,human_review_required
asrt.53cc2c1045a6ef322cfde1e6,308,FAUNA_MENTION,யானை,5,10,human_review_required
asrt.409b45bf84763da99555b7da,308,POLITICAL_RELATION,மன்னன்,4,7,human_review_required
asrt.002061ad6c3609aab6e2ab93,314,SOCIAL_PRACTICE,நடுகல்,3,0,human_review_required
asrt.0d764dcf6ec9f95aa1de4acc,316,RULER_MENTION,இறைவன்,4,9,human_review_required
asrt.cc75957ff8140693665d0d00,316,COMMUNITY_MENTION,பாணர்,4,26,human_review_required
asrt.78d90fcd80189345f1e135cd,316,FAUNA_MENTION,யானை,12,8,human_review_required
asrt.9db2d876bf15a22e016707c4,318,COMMUNITY_MENTION,பாணர்,5,0,human_review_required
asrt.f240b8eb288bb60869a68056,319,POLITICAL_RELATION,மன்னன்,12,7,human_review_required
asrt.f012b631f195cecea370b334,323,GIFT_MENTION,ஈகை,4,25,human_review_required
asrt.e8f4c3490b588ab27de0764f,323,WARFARE_MENTION,வாள்,5,24,human_review_required
